nk	ref_sk	hyp_sk	P(SK)	pred_label
그것은 로체스터씨가 살아 있다는것을 알고, 믿고있기때문이다. 그리고 또한 인간으로서 주림과 추위때문에 죽는다는것은 너무도 따를 수 없는 운명이기 때문이다.	그것은 로체스터 씨가 살아 있고, 또한 굶주림과 추위로 죽는다는 운명을 인간 본성이 순순히 따르지 않는다는 것을 내가 알고 또 믿고 있기 때문이겠지.	그것은 로체스터 씨가 살아 있다는 것을 알고 있었기 때문이고, 또한 인간으로서, 더구나 추위와 굶주림 때문에 죽는다는 것은 견딜 수 없는 운명이라는 것을 알고 있었기 때문이다.	0.9999999999999948	1
잉그람경은 옘미 이슈톤양과 롱담을 하고있었으며 루이자양은 피아노를 타거나 린부인의 딸과 노래를 부르기도 하였다. 메리 잉그람양만은 외롭게 앉아서 사람들의 즐거운 이야기를 듣고만 있었다.	잉글램 경은 에이미 에시튼과 장난을 하고 있었고, 루이자는 피아노를 치거나 린 형제 중의 한 사람의 반주에 맞추어 노래를 부르거나 합창을 하고 있었고, 메리 잉글램은 린 형제 중 다른 한 사람의 잘난 체하는 변설을 마음에 내키지 않는 듯한 모습으로 듣고 있었다.	잉그램 경은 옘미 이쉬튼 양과 농담을 하고 있었고, 루이자 양은 피아노를 치거나 린 경의 딸과 노래를 부르고 있었으며, 메리 잉그램 양만은 외롭게 앉아서 그들의 즐거운 대화를 듣고 있었다.	0.9999999999999932	1
내가 여러분에게 가려고 준비를 갖춘것이 이번으로 세번째가 됩니다. 그러나 내가 가더라도 여러분에게 짐이 되지는 않겠습니다. 내가 구하는것은 여러분자신이지 여러분의 재물은 결코 아닙니다. 자식이 부모를 위해서 돈을 모아두어야 하는것이 아니라 부모가 자식들을 위해서 그렇게 해야 하는 법입니다.	이제 나는 세 번째 여러분을 방문할 준비를 하고 있습니다. 이번에도 여러분에게 짐을 지우지는 않을 작정입니다. 나는 단지 여러분을 바랄 뿐 여러분이 가진 재물을 바라지 않습니다. 이는 자녀가 부모를 위해 재산을 모아 두는 것이 아니라 부모가 자녀를 위해 그렇게 하는 것이기 때문입니다.	내가 여러분에게 갈 준비를 한 것은 이번이 세 번째입니다. 여러분에게 짐이 되지는 않을 것입니다. 내가 여러분에게 갈 때는 여러분 자신의 것이지 여러분의 재물이 아닙니다. 여러분은 자녀를 위해 돈을 모으는 것이 아니라 부모가 자식들을 위해 돈을 모으는 것입니다.	0.9999999999999925	1
이렇게 지시하고 나서 다윗은 아들 솔로몬에게 당부하였다. 여호와의 성전에서 례배하는데 쓰일것을 다 만들기까지 나를 보살피시던 하느님 여호와께서 너를 떠나시지 않으실 것이다. 모른체하고 내버려두시지 않을것이다. 그러니 힘을 내고 용기를 내여 일을 해나가거라 걱정하지도 말며 두려워하지도 말라.	다윗이 또 그의 아들 솔로몬에게 말했습니다. 강하고 용감한 마음으로 이 일을 하여라. 두려워하거나 용기를 잃지 마라. 나의 하나님 여호와께서 너와 함께 계시니 성전 짓는 모든 일을 마칠 때까지 너를 도우실 것이다. 너를 떠나지 않으실 것이다.	다윗이 자기 아들 솔로몬에게 말했습니다. 여호와의 성전에서 쓸 모든 것을 만들 때까지 나를 돌보아 주셨던 하나님 여호와께서 너를 떠나지 않으실 것이오. 그러니 너는 용기를 내어 일을 할 수 있을 것이오. 두려워하거나 두려워하지 마시오.	0.9999999999999838	1
사울이 군인들이 아말렉에게서 빼앗아온것입니다. 양떼 소떼 중에서도 좋은놈을 살려두었다가 선생께서 모시는 여호와하느님께 잡아바치려고 끌어온것입니다. 그밖의것은 모조리 없애버렸습니다. 하고 변명하자	사울이 대답했습니다. 군인들이 아말렉 사람들에게서 빼앗은 것입니다. 당신의 하나님 여호와께 제물로 바치기 위해 제일 좋은 양과 소들을 남겨 둔 것입니다. 하지만 다른 동물들은 다 죽여 없앴습니다.	사울이 대답했습니다. 그것은 아말렉 사람들이 빼앗아 온 것입니다. 사울은 양 떼와 소 떼 가운데서 가장 좋은 것을 살려 두었습니다. 사울은 그 모든 것을 빼앗아 갔습니다. 사울이 말했습니다. 그 밖의 것은 다 없애 버렸습니다.	0.9999999999999444	1
여호와께 례물을 바친다. 번제물로는 1년 된 흠없는 어린 수양 한마리를 바치고 속죄제물로는 1년 된 흠없는 어린 암양 한마리를바치고 화목제물로는 흠없는 수양 한마리를 바친다.	거기에서 여호와께 제물을 바쳐라. 흠 없는 일 년 된 숫양을 번제물로 바치고 흠 없는 일 년 된 암양을 속죄 제물로 바쳐라. 그리고 흠 없는 숫양 한 마리를 화목 제물로 바쳐라.	그들은 여호와께 태워 드리는 제물인 번제물로 일 년 된 흠 없는 숫양 한 마리를 바칠 것이며 속죄 제물로 일 년 된 흠 없는 암양 한 마리를 바칠 것이다. 그리고 화목 제물로 일 년 된 흠 없는 숫양 한 마리를 바칠 것이다.	0.999999999999929	1
그리고 너희 하느님 여호와께서는 너희가 손으로 하는 모든 일 너희 몸의 소생들 집짐승의 새끼들 발의 소출을 넘치게 해주실것이다. 여호와께서는 마음을 돌이키시여 너희를 잘 되게 해주시는 일이 마냥 기쁘실것이다. 일찌기 기뻐 하심으로써 너희 선조들을 잘 되게 해주셨듯이 너희에게도 잘 해주실 것이다.	여호와께서는 여러분이 하는 모든 일에 복을 주실 것이오. 여러분은 자녀를 많이 낳을 것이며 여러분의 짐승도 새끼를 많이 낳을 것이고 여러분의 땅에서는 열매가 많이 맺힐 것이오. 여호와께서는 여러분을 잘 되게 하시고 여러분의 조상들을 보시고 기뻐하셨듯이 여러분을 보시고 기뻐하실 것이오.	여러분의 하나님 여호와께서 여러분에게 하시는 모든 일 곧 여러분의 몸과 여러분의 짐승의 새끼와 여러분의 발을 건강하게 해 주실 것이오. 여호와께서 마음을 바꾸셔서 여러분을 기쁘게 해 주실 것이오. 여호와께서 여러분의 조상에게 하신 일처럼 여러분을 기쁘게 해 주실 것이오.	0.99999999999991	1
그러자 북쪽에 있는높은 문에서 사람 여섯이 나왔다. 그들은 모두 손에 망치를 돌고있었는데 그중 한사람은 모시옷을 입고 허리에는 서기관의필묵통을 차고있었다. 그들이 들어와서 놋제 단곁에 서자	그러자 북쪽을 향한 윗문 쪽에서 여섯 사람이 나왔는데 각 사람마다 손에 강력한 무기를 들고 있었다. 그 중에 한 사람은 모시옷을 입고 옆구리에 글을 쓰는 도구를 차고 있었다. 그들은 들어와서 놋제단 곁에 섰다.	북쪽 문에서 사람 여섯 명이 나왔습니다. 그들은 모두 손에 망치를 들고 있었습니다. 그들 중 한 사람은 모시옷을 입고 허리에는 서기관의 필통을 차고 있었습니다. 그들은 놋제단 곁에 서 있었습니다.	0.9999999999998596	1
내 백성은 나를 알지 못해서 망한다. 너희 제사장이라는것이 나를 알려고 하지 않으니나도 너희를 제사장직에서 몰아낸다. 이 하느님의 가르침을 마음에 두지 않으니나도 너희 자녀를 마음에 두지 않으리라.	내 백성이 지식이 없어서 망한다. 네가 지식을 거부했기 때문에 나도 너희가 내 제사장이 되지 못하게 하겠다. 너희가 너희 하나님의 가르침을 잊어 버렸으므로 나도 너희 자녀를 잊을 것이다.	내 백성이 나를 알지 못하여 망할 것이다. 너희가 제사장이라는 것을 내게 알리지 않으니 내가 너희를 제사장 자리에서 쫓아 낼 것이다. 너희가 하나님의 가르침을 따르지 않으니 내가 너희 자녀를 너희에게 주지 않을 것이다.	0.9999999999997928	1
그날로 네 입은 열려 도망쳐 온자와 말을 할수 있게 될것이며 다시는 벙어리 노릇을 하지 않을것이다. 이렇게 네가 그들에게 상징이 되리니 그제야 그들은 내가 여호와임을 알리라.	그 때가 되면 네 입이 열릴 것이니 너는 말을 할 수 있으며 더 이상 침묵할 필요가 없게 될 것이다. 그렇게 해서 너는 그들에게 표징이 될 것이며 그들은 내가 여호와라는 것을 알게 될 것이다.	그 날에 너의 입은 활짝 열려 너희가 도망치는 자에게 말을 할 수 있게 될 것이며 너희가 다시는 너희의 벙어리가 되지 않을 것이다. 네가 그들에게 표적이 될 것이다. 그 때에 그들이 내가 여호와라는 것을 알게 될 것이다.	0.9999999999997212	1
