nk	ref_sk	hyp_sk	P(SK)	pred_label
내가 온갖 재앙을 일으켜 그를 혼내주리니 주여호와가 하는 말이다. 그의 군대가 저희끼리 칼로 찔러 죽이게되리라.	내가 나의 모든 산에서 곡을 대적할 칼을 부를 것이다. 모든 사람들의 칼이 서로를 대적할 것이다.	여호와께서 이렇게 말씀하셨다. 보아라. 내가 그에게 재앙을 내리겠다. 주 여호와께서 이렇게 말씀하셨다. 보아라. 보아라. 보아라. 보아라. 보아라. 보아라. 보아라. 보아라. 보아라. 보아라. 보아라. 보아라. 보아라. 보아라. 보아라. 보아라. 보아라. 보아라. 보아라. 보아라. 내가 보아라. 보아라. 보아라. 보아라. 보아라. 보아라. 보아라. 보아라. 보아라. 보아라. 보아라. 보아라. 보아라. 보아라. 보아라. 보아라. 보아라. 보아라. 보아라. 보아라. 보아라. 보아라. 보아라. 보아라. 보아라. 보아라. 보아라. 보아라. 보아라. 보아라. 보아라.	1.3959070094200704e-05	0
이에 건장한 종은 머리를 조아리며 소졸의 이름은 신비해로소이다.	제 이름은 신비해이옵나이다.	건장한 종은 머리를 조아리며 말하였다. 소졸 이름은 신비롭소이다.	0.000325910300187	0
어찌하여 나라들이 술렁대는가 어찌하여 민족들이 헛일을 꾸미는가.	어째서 나라들이 남몰래 나쁜 일을 꾸미며 민족들이 왜 그토록 헛된 일들을 계획하고 있는 것일까?	어찌하여 나라들이 술렁거리는가 어찌하여 민족들이 헛일을 꾸미는가?	0.0007087966418232	0
심청이 들어보니 분명히 자기가 죽을 꿈이므로 마음속이 섬찍하였으나 그런 내색은 전연 비치지 않고 겉으로는 아무쪼록 아버지가 안심하도록 좋게 대답하였다.	심청이가 들어 보니 분명 제가 죽을 꿈이므로 마음이 섬뜩하였으나 내색않고 아무쪼록 아버지 마음 편하시도록 좋게 대답하였다.	심청이가 들어보니 분명히 자기가 죽을 꿈이므로 마음속이 섬찍하였다. 그러나 겉으로는 아무렇지도 않게 대답하였다.	0.0014708765000648	0
아버님이 저를 만져 보시면 어떻게 하겠습니까. 제가 아버님을 놀리기나한것처럼 되여 복은커녕 도리여 저주를 받을것 아닙니까.	만약 아버지가 나를 만지실 때에 내가 속이는 자처럼 되면 아버지가 내게 복을 주시기는커녕 오히려 아버지를 속이려 한 나를 저주하실 것입니다.	아버지께서 제 몸을 만지시면 제가 아버지께 죄를 지었나이다. 제가 아버지께 죄를 지었나이다. 아버지께 복은커녕 저주를 받을 것이다.	0.0031714971166113	0
그들 가운데서 누가 여호와의 회의에 참석하여 친히 뵈옵고 말씀을 들었느냐 누가 그의 말씀을 귀담아들었느냐.	그러나 이 예언자들은 여호와의 회의에 참석하지 않았다. 내 말을 듣거나 보지 못했고 내 말에 귀 기울이지도 않았다.	그들 가운데 누가 여호와의 회의에 참석하여 그분을 뵈었느냐? 누가 그분의 말씀에 귀 기울였느냐?	0.0034255093057679	0
기피한 사랑에 대한 기피한 말!	이상한 사랑을 표현하는 이상한 말이여!	기피한 사랑이라니, 기피한 사랑이라니!	0.0058241088789084	0
기피한 사랑에 대한 기피한 말!	이상한 애착에 대한 이상한 말!	기피한 사랑이라니, 기피한 사랑이라니!	0.0058241088789084	0
기피한 사랑에 대한 기피한 말!	이상한 애정이 깃들여 있는 이상한 말!	기피한 사랑이라니, 기피한 사랑이라니!	0.0058241088789084	0
그러나 우리가 그들의 비위를 건드릴 필요는 없으니 이렇게 하라. 바다에 가서 낚시를 던져 맨 먼저 낚은 고기를 잡아 입을 열어보라. 그속에 은 한세겔이 들어 있을터이니 그것을 꺼내서 내 몫과 네몫으로 갖다 바쳐라	그러나 성전세 걷는 사람들을 자극해서는 안 되겠다. 그러니 호수에 가서 낚시를 던져라. 그리고 첫 번째 낚은 물고기의 입을 벌려 보아라. 은돈 한 개가 있을 것이다. 그것을 가져다가 성전세 걷는 사람에게 나와 네 몫으로 주어라.	그러나 우리가 그들의 비위를 건드릴 필요는 없소. 먼저 바다에 가서 먼저 잡은 고기를 잡아라. 그 고기 가운데서 은 한 세겔 가량이 있으니 그것을 꺼내서 내 몫과 네 몫으로 가져가거라.	0.0058947412030409	0
