nk,sk,ratio
그는 자연스러운 태도를 취하려고 신문을 집어들고 객실에서 뜰로 서너번 오락가락했다.,그는 겉보기에는 태연스럽게 신문을 손에 들고 살롱과 정원 사이를 서너번 왔다갔다 했다.,0.6041666666666666
그때 무엇이 서로 붙안고 돌아가는듯한 소리와 숨이 넘어가는듯한 소리가 났다.,그러나 반쯤 숨이 넘어가는 소리가 외쳤다.,0.6190476190476191
영국에 계시는가요?,영국에 계십니까?,0.4
여호와여 영광을 우리에게 돌리지 마소서. 우리에게 돌리지 마소서. 다만 당신의 이름을 영광되게 하소서. 그 영광은 당신의 사랑과 진실로 말미암은것이옵니다.,여호와여 우리에게 영광을 돌리지 마십시오. 오직 주의 이름만 영화롭게 하십시오. 주는 사랑이 많으시고 신실하신 분이십니다.,0.5930232558139535
경우에 따라서죠.,형편에 따라서는요.,0.4
다시한번 묻겠는데 어째서 싫다는거요?,다시 한 번 묻겠는데 왜 이렇게 거절하는 것이오? 그가 물었다.,0.6285714285714286
그 쥴리앙이란놈은 참으로 이상한 사나이란 말이야.,그 쥘리앵은 참 색다른 사내야.,0.5925925925925926
그러자 샤 베르나르사제가 그의 가장 사랑하는 성당문앞에 서있는 모습이 눈에 띄었다.,그때 저 멀리 샤 베르나르 신부가 자신이 자랑스러워하는 성당 문 앞에 나와 서 있는 모습이 보였다.,0.509090909090909
그들이 애급에서 가져온 곡식은 떨어져 가고있었다. 하는수 어른이 없이 그들의 어버지는 다시 가서 량식 을 좀더 사오라고 하였다.,야곱의 가족은 이집트에서 가져온 곡식을 다 먹었습니다. 그래서 야곱이 아들들에게 말했습니다. 이집트로 다시 가서 먹을 음식을 조금 더 사 오너라.,0.6296296296296297
설사 그가 있다고 하여도 그것이 나와 무슨 관계란말인가?,"그러나 설사 그분이 여기 있다고 하더라도, 뭐야, 그게 네게 무슨 소용이 있단 말이야?",0.6041666666666666
아델은 별로 뛰여난 재간도 없었고 두드러진 성격적특질도 없을뿐더러 보통아이들의 수준보다 조금이라도 더 발달된 감정이라든가 취미도 없는 아이였다. 그러나 아델에겐 수준이하의 결함이나 단점 같은것은 없었다.,"여느 아이보다 큰 재능이 없고, 성격상 두드러진 특징도 없었다. 조금이라도 보통 아이들 수준보다 우수하게 감정이니 취미가 유달리 발달하지도 않았고 수준 이하의 결점이나 나쁜 버릇도 없었다.",0.6283185840707964
"제인, 진정하오.","제인, 가만히 있어요.",0.5833333333333334
"이 녀성을 이대로 내버려두면, 감시의 눈을 늦춘다면 남편에게 모든것을 다 말해버릴것이다.",이대로 내버려 둔 채 감시를 게을리하면 남편에게 모든 걸 고백해버릴 거다.,0.46938775510204084
손님들은 목요일 오후 여섯시 저녁식사시간에 맞추어 도착할 예정이였다.,"손님들은 목요일 저녁, 여섯 시의 만찬에 대어 오도록 되어 있었다.",0.5263157894736842
그 이튿날 아침 나는 그가 아직 일어나기도전에 떠나고말았다.,그리고 이튿날은 그가 일어나기 전에 떠나와 버리고 말았다.,0.5151515151515151
그런데 브로클허스트씨가 말씀하시던 네 은인이란 누구냐?,그리고 또 브로클허스트 씨가 말씀하신 네 은인이란 누구냐?,0.21875
동정을 표시하는 방법이 지내 겸손하다고 해서 위로나 격려의 힘이 약화된다는것은 아니요.,동정을 내색하지 않는다고 해서 격려가 안 되는 것이 아니니까요.,0.5625
점심 때까지 레날부인은 한시도 숨겨둔 애인에게 가볼 틈이 없었다.,저녁 식사 때까지 레날 부인은 자신의 포로를 돌볼 짬을 잠시도 내지 못했다.,0.5714285714285714
그러나 용기를 내라!,그러나 기운을 내자!,0.36363636363636365
로체스터씨는 결혼후에도 2년동안은 계속 앞을 보지 못하였다.,로체스타 씨는 우리들이 결혼한 지 처음 이 년 동안은 줄곧 눈먼 채로 지냈다.,0.5813953488372093
몇백만금 리를 남겨,몇천만 냥 이문 남겨,0.45454545454545453
하느님께서는 너에 자비를 베풀만한 때에 네 말을 들어주었고 너를 구원해야 할 날에 너를 도와주었다. 하고 말씀하셨습니다. 지금 바로 그 자비의 때이며 오늘이 바로 구원의 날입니다.,하나님께서 이렇게 말씀하셨습니다. 내가 은총을 베풀 때에 너의 말을 들었고 구원의 날에 너를 도왔다. 보십시오. 지금이 하나님께서 은총을 베푸실 때이며 지금이 구원의 날입니다.,0.62
그러나 그의 손에 닿은것은 빈 공간뿐이였다.,그러나 아직 손에 닿는 건 허공뿐이었다.,0.375
래일 일을 자랑하지 말아라. 하루사이에 무슨 변이 생길지 모른다.,내일을 자랑하지 마라. 오늘 무슨 일이 일어날지 누가 알 것인가?,0.6388888888888888
그러나 맞혀내지 못하면 자네들이 나에게 모시옷 서른벌과 레복 서른벌을 내야 하네. 그들은 좋다고 하면서 수수께끼를 말해보라고 하였다,하지만 답을 알아맞히지 못하면 당신들이 나에게 베옷 삼십 벌과 겉옷 삼십 벌을 줘야 하오. 그러자 그들이 말했습니다. 당신이 내려는 수수께끼를 말해 보시오. 어디 한번 들어 봅시다.,0.5643564356435643
아델 곧 히스기야의 일가 98명,아델의 자손 곧 히스기야 집안의 자손이 구십팔 명이요,0.5517241379310345
그는 대단한 독서가였고 공부를 많이 하였다.,굉장한 독서가로 공부도 많이 했다.,0.4166666666666667
"선생님, 하든부인의 말씀이 보통때 분량을 드렸다구 하시는걸요.","선생님, 하든 부인 말씀이 여느 때와 같은 분량을 드렸다고 하던데요.",0.34210526315789475
월계수가 서있는 유보도를 지나자 벼락을 맞은 칠엽수의 모양이 눈앞에 나타났다.,월계수 길을 내려가다가 나는 벼락 맞은 칠엽수의 잔해 앞에 이르렀다.,0.4418604651162791
부인은 그를 자기의 목숨보다도 천갑절이나 더 소중히 여겼다.,부인은 그를 생명보다 더 사랑하고 있었다.,0.5757575757575758
무릎을 꿇고 얼굴을 쳐들어보오.,무릎을 꿇고 고개를 들어요.,0.35294117647058826
이번에는 스따니슬라스 구자비에님도 성서 한대목을 나에게 가리켜줘야 하겠어요.,스타니슬라스 크사비에 군도 내게 성경의 한 구절을 지적해 줘야 해요.,0.6428571428571429
취미와 신념은 어떤 수를 써서라도 일치시켜야 하는거요.,어쨌든 성향과 원칙은 어떤 방법에 의해서건 반드시 일치되어야 하오.,0.6486486486486487
그것을 들은 나는 온 집안을 이처럼 공포에 휩쓸어넣은것이 결코 하녀의 꿈이 아니며 로체스터씨의 설명은 손님들을 안심시키기 위해서 꾸며낸것에 지나지않는다는 확신을 가지게 되였다.,"그리고 이 소리들은 이 큰 저택을 흔들어놓은 것은 하녀의 꿈이 아니라는 것, 로체스터 씨가 여러 사람에게 들려준 설명은 손님들을 안심시키기 위해 꾸며낸 단순한 방편에 지나지 않는다는 것을 나에게 확신시켜 주었다.",0.5338983050847458
그 창문에서는 문지기집과 마차길이 보였는데 마침 내가 유리창을 덮었던 은빛성에를 입김으로 바깥이 내다보일만큼 녹였을 때 정문이 열리더니 한대의 마차가 굴러들어오는것이 보였다.,"이 창문을 통해 문지기 집과 마차길이 보였고 마침 내가 유리를 덮고 있던 은백색의 잎처럼 생긴 서리를 훨씬 멀리 바라볼 수 있을 정도로 녹였을 때, 문이 활짝 열려지며 한 대의 마차가 달려오는 것이 보였다.",0.4782608695652174
제가 다녀 오겠습니다. 그때까지 여기를 떠나지 말고 계십시오 례물을 내다 드리겠습니다. 그가 대답하셨다. 네가 돌아올 때까지 이 자리에 있겠다.,여기에서 기다려 주십시오. 제가 다시 돌아올 때까지 가지 마십시오. 제가 예물을 가져와서 주 앞에 바치겠습니다. 그러자 여호와께서 네가 돌아올 때까지 기다리겠다라고 대답하셨습니다.,0.61
그는 말없이 한참이나 울었다.,그는 오랫동안 말없이 울었다.,0.4375
거기에 있던 이스라엘백성은 그때에 유월절을 지키고 7일간 무교절을 지켰다.,그 곳에 있던 이스라엘 백성은 유월절을 지키고 연이어 무교절을 칠 일 동안 지켰습니다.,0.4166666666666667
일이 잘되면 흰 손수건을 거기다 걸어놓겠어요.,우리 일이 계획대로 되면 그 탑에 흰 손수건을 걸어 놓을게.,0.6363636363636364
그날밤 여호와의 천사가 나타나 앗수르진영에서 군인 18만 5천명을 쳤다. 아침이 되여 날이 밝았을 때 그들은 모두 시체로 발견되였다.,그 날 밤에 여호와의 천사들이 내려와 앗시리아의 진에서 십팔만 오천 명을 죽였습니다. 백성이 이튿날 아침에 일찍 일어나 보니 그들이 모두 죽어 시체들로 가득하였습니다.,0.5483870967741935
어디서든지 너희를 받아들이지도 않고 너희의 말을 듣지고 않거든 그 집이나 그 도시를 떠날 때에 너희 발에 묻은 먼지를 털어버려라.,누구든지 너희를 맞아들이기를 거절하거나 너희 말을 귀 기울여 듣지 않으면 그 집이나 도시를 떠날 때 네 발의 먼지를 털어 버려라.,0.4305555555555556
그렇지 않소.,절대 그렇지 않소.,0.3
사제는 거기서 나오면서 쥴리앙에게 말했다.,양복점을 나서면서 사제가 쥘리엥에게 말했다.,0.5416666666666666
이 아름다운 머리가 땅에 떨어져 버리다니!,이 매력적인 목이 잘려 떨어진다니!,0.5652173913043478
목자들의 말을 들은 사람들은 모두 그 일을 신기하게 생각하였다.,목자들의 말을 듣고 사람들은 모두 놀랐습니다.,0.45714285714285713
이것은 특히 주 예수 그리스도의 이야기를 써놓은 신약성서 라고 이르는 책입니다.,"이것은 무엇보다 우리 주 예수 그리스도의 이야기로, 우리가 신약 성서라고 부르는 책입니다.",0.3
하닷이 죽은 다음에는 추장들이 에돔을 다스렸다. 딤나 알랴 여뎃,하닷이 죽었습니다. 에돔의 족장은 딤나와 알랴와 여뎃과,0.5714285714285714
당신의 종이 얼마나 더 살겠습니까. 이 몸을 박해하는 자들을 언제 심판 하시렵니까.,주의 종이 얼마나 더 기다려야만 합니까? 주는 나를 박해하는 자들을 언제 벌하실 것입니까?,0.42
나의 손을 꽉 잡은채 신사들에게 따라오라고 시늉을 하면서 그는 현관을 지나 층계를 올라갔다.,"그는 줄곧 내 손을 잡고, 신사들에게 따라오라고 손짓을 하면서 줄곧 걸어가다가 층층다리를 올라갔다.",0.41818181818181815
당신이 특전을 요구하실수 있는 권리는 당신이 자기 나이와 경험을 어떻게 리용하셨는가에 달려있어요.,선생님이 저보다 우월하시다는 주장은 선생님이 시간과 경험을 어떻게 유효하게 쓰셨는지 거기에 달려 있어요.,0.5862068965517241
이 훌륭한 영탄곡을 듣자마자 마틸드의 눈앞에서는 이 세상의 모든것이 다 사라지고말았다.,이 숭고한 영탄곡을 듣는 순간 마틸드에게는 세상에 존재하는 모든 것이 사라졌다.,0.5208333333333334
사람들은 그런 일들을 숨어서 하는데 그것들은 말하기 조차 부끄러운일 들입니다.,몰래 저지르는 그런 일들은 입에 담기조차 부끄러운 것들입니다.,0.5813953488372093
그분의 증언을 받아들이는 사람은 하느님께서 참되다는것을 확증하는 사람이다.,그분의 증거를 받아들이는 사람은 하나님이 참되신 분이라는 사실을 인정한다.,0.43902439024390244
그의 대답이였다.,라는 대답이었다.,0.3333333333333333
천재는 없어졌는가?,천재가 추방당했다고?,0.6363636363636364
